,Player,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Def.1,90s,Tkl,TklW,Def,Mid,Att,Tkl.1,Att.1,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,90s,Touches,Def,Def.1,Mid,Att,Att.1,Live,Att.2,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
0,Ezri Konsa,DF,24,38.0,37,"3,322",36.9,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.1,1.1,1.3,2.3,7.0,56.0,11.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,36.9,0.0,8.0,0.0,0.0,0.22,0.0,0.0,8.0,0.0,0.0,0.0,1.1,1.1,0.13,-1.1,-1.1,,36.9,1681.0,1898.0,88.6,30731.0,10578.0,608.0,663.0,91.7,938.0,997.0,94.1,120.0,202.0,59.4,0.0,1.3,0.7,-1.3,8.0,70.0,4.0,2.0,56.0,36.9,1898.0,1806.0,88.0,60.0,1.0,6.0,4.0,18.0,0.0,0.0,0.0,0.0,1681.0,4.0,14.0,36.9,15.0,0.41,13.0,0.0,0.0,1.0,1.0,0.0,2.0,0.05,2.0,0.0,0.0,0.0,0.0,0.0,36.9,42.0,20.0,25.0,15.0,2.0,18.0,26.0,69.2,8.0,41.0,23.0,18.0,26.0,68.0,120.0,3.0,36.9,2192.0,349.0,1280.0,850.0,70.0,22.0,2192.0,15.0,5.0,33.3,3.0,20.0,1375.0,6226.0,3596.0,7.0,9.0,0.0,15.0,5.0,1533.0,11.0,38,"3,322",87,97.1,36.9,37.0,90.0,36.0,1.0,1.0,0.0,1.61,49.0,45.0,4.0,0.11,-0.81,47.7,51.1,-3.4,-0.09,-1.15,36.9,6.0,0.0,0.0,12.0,64.0,0.0,4.0,26.0,20.0,0.0,0.0,0.0,164.0,55.0,37.0,59.8,36.0,36.0,"3,139",34.9,38.0,1.09,132.0,97.0,74.2,17.0,7.0,12.0,11.0,30.6,5.0,4.0,1.0,0.0,20.0,34.9,38.0,4.0,1.0,6.0,4.0,36.6,0.24,2.6,0.07,199.0,523.0,38.0,1171.0,135.0,35.5,33.0,212.0,50.5,40.7,483.0,60.0,12.4,73.0,2.09,16.6
1,Emiliano Martínez,GK,29,36.0,36,"3,139",34.9,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,34.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,34.9,1026.0,1388.0,73.9,27095.0,17857.0,218.0,219.0,99.5,520.0,527.0,98.7,286.0,633.0,45.2,0.0,0.3,0.3,-0.3,2.0,21.0,0.0,0.0,0.0,34.9,1388.0,1043.0,340.0,128.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1026.0,5.0,1.0,34.9,5.0,0.14,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,23.0,1.0,34.9,1479.0,1218.0,1463.0,17.0,0.0,0.0,1479.0,0.0,0.0,0.0,851.0,4474.0,2627.0,0.0,0.0,0.0,2.0,0.0,707.0,0.0,,,36,"3,139",87,91.8,34.9,36.0,87.0,34.0,0.0,1.0,1.61,47.0,38.0,9.0,0.26,1.54,46.5,43.9,2.6,0.08,1.64,,34.9,7.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,41.0,13.0,0.0,100.0,4.0,2.0,281,3.1,8.0,2.56,19.0,11.0,63.2,1.0,0.0,1.0,1.0,50.0,1.0,1.0,0.0,0.0,0.0,3.1,8.0,1.0,0.0,3.0,0.0,6.2,0.29,-1.8,-0.57,15.0,62.0,24.2,101.0,18.0,44.6,37.6,28.0,60.7,46.8,45.0,5.0,11.1,3.0,0.96,14.2
2,Ollie Watkins,FW,26,37.0,36,"3,127",34.7,15.0,6.0,21.0,14.0,1.0,2.0,4.0,0.0,16.5,14.9,3.8,18.7,50.0,39.0,196.0,0.43,0.17,0.6,0.4,0.58,0.47,0.11,0.58,0.43,0.54,34.7,15.0,84.0,45.0,53.6,2.42,1.3,0.17,0.31,12.6,0.0,1.0,2.0,16.5,14.9,0.18,-1.5,-0.9,34.7,391.0,566.0,69.1,4682.0,840.0,261.0,344.0,75.9,84.0,122.0,68.9,12.0,15.0,80.0,6.0,3.8,2.7,2.2,31.0,23.0,16.0,2.0,39.0,34.7,566.0,554.0,9.0,0.0,0.0,2.0,9.0,3.0,0.0,0.0,0.0,0.0,391.0,3.0,13.0,34.7,79.0,2.27,51.0,0.0,6.0,11.0,11.0,0.0,14.0,0.4,6.0,0.0,2.0,5.0,1.0,0.0,34.7,19.0,13.0,3.0,13.0,3.0,10.0,27.0,37.0,17.0,21.0,4.0,17.0,10.0,29.0,39.0,0.0,34.7,927.0,47.0,86.0,365.0,488.0,164.0,925.0,65.0,18.0,27.7,36.0,55.4,475.0,2519.0,1164.0,50.0,24.0,32.0,82.0,39.0,684.0,196.0,37,"3,127",85,91.4,34.7,36.0,86.0,26.0,1.0,25.0,0.0,1.57,47.0,40.0,7.0,0.2,0.82,44.8,47.1,-2.3,-0.07,-0.08,34.7,4.0,0.0,0.0,26.0,39.0,18.0,9.0,10.0,13.0,1.0,0.0,0.0,59.0,70.0,100.0,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Tyrone Mings,DF,29,35.0,35,"3,150",35.0,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,1.2,1.2,1.4,2.6,20.0,111.0,7.0,0.03,0.06,0.09,0.03,0.09,0.03,0.04,0.07,0.03,0.07,35.0,1.0,7.0,2.0,28.6,0.2,0.06,0.14,0.5,12.1,0.0,0.0,0.0,1.2,1.2,0.17,-0.2,-0.2,35.0,1617.0,1899.0,85.2,30932.0,11677.0,532.0,586.0,90.8,913.0,984.0,92.8,153.0,286.0,53.5,2.0,1.4,0.9,0.6,5.0,106.0,6.0,0.0,111.0,35.0,1899.0,1811.0,85.0,64.0,1.0,15.0,3.0,6.0,0.0,0.0,0.0,0.0,1617.0,3.0,10.0,35.0,23.0,0.66,17.0,0.0,0.0,2.0,4.0,0.0,4.0,0.11,2.0,0.0,0.0,1.0,1.0,0.0,35.0,15.0,7.0,10.0,5.0,0.0,9.0,20.0,45.0,11.0,40.0,21.0,19.0,54.0,69.0,163.0,2.0,35.0,2228.0,384.0,1276.0,877.0,81.0,21.0,2228.0,12.0,6.0,50.0,3.0,25.0,1379.0,7995.0,4556.0,20.0,21.0,3.0,8.0,7.0,1486.0,7.0,35,"3,150",90,92.1,35.0,35.0,90.0,35.0,0.0,1.0,1.74,50.0,40.0,10.0,0.29,1.95,48.8,48.0,0.8,0.02,1.05,,35.0,7.0,0.0,0.0,18.0,22.0,3.0,3.0,54.0,7.0,1.0,0.0,1.0,174.0,61.0,24.0,71.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Douglas Luiz,MF,24,37.0,33,"2,927",32.5,6.0,6.0,12.0,6.0,0.0,0.0,6.0,1.0,2.8,2.8,4.4,7.2,48.0,148.0,35.0,0.18,0.18,0.37,0.18,0.37,0.09,0.14,0.22,0.09,0.22,32.5,6.0,34.0,12.0,35.3,1.05,0.37,0.18,0.5,25.0,7.0,0.0,0.0,2.8,2.8,0.08,3.2,3.2,32.5,1494.0,1812.0,82.5,26492.0,6527.0,613.0,680.0,90.1,665.0,768.0,86.6,158.0,277.0,57.0,6.0,4.4,2.9,1.6,45.0,123.0,19.0,4.0,148.0,32.5,1812.0,1593.0,216.0,120.0,6.0,10.0,106.0,6.0,89.0,53.0,13.0,1.0,1494.0,3.0,16.0,32.5,96.0,2.95,61.0,26.0,4.0,1.0,1.0,3.0,12.0,0.37,9.0,1.0,0.0,0.0,0.0,2.0,32.5,73.0,42.0,31.0,32.0,10.0,30.0,63.0,47.6,33.0,36.0,7.0,29.0,40.0,113.0,27.0,2.0,32.5,2118.0,75.0,534.0,1161.0,443.0,19.0,2117.0,44.0,24.0,54.5,14.0,31.8,1142.0,6297.0,2922.0,48.0,39.0,4.0,36.0,33.0,1326.0,35.0,37,"2,927",79,85.6,32.5,33.0,86.0,23.0,4.0,23.0,1.0,1.57,46.0,33.0,13.0,0.4,1.86,43.3,41.5,1.7,0.05,0.78,32.5,6.0,1.0,0.0,48.0,42.0,2.0,106.0,40.0,42.0,0.0,0.0,0.0,197.0,25.0,22.0,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Jacob Ramsey,"MF,FW",21,35.0,31,"2,636",29.3,6.0,7.0,13.0,6.0,0.0,0.0,5.0,0.0,5.0,5.0,5.1,10.1,94.0,98.0,119.0,0.2,0.24,0.44,0.2,0.44,0.17,0.17,0.34,0.17,0.34,29.3,6.0,33.0,13.0,39.4,1.13,0.44,0.18,0.46,15.9,0.0,0.0,0.0,5.0,5.0,0.15,1.0,1.0,29.3,728.0,889.0,81.9,10240.0,2665.0,444.0,500.0,88.8,217.0,266.0,81.6,34.0,46.0,73.9,7.0,5.1,2.9,1.9,42.0,67.0,28.0,4.0,98.0,29.3,889.0,880.0,3.0,2.0,3.0,3.0,18.0,1.0,0.0,0.0,0.0,0.0,728.0,6.0,26.0,29.3,81.0,2.76,69.0,0.0,4.0,2.0,5.0,1.0,11.0,0.38,8.0,0.0,1.0,1.0,1.0,0.0,29.3,69.0,39.0,23.0,35.0,11.0,32.0,69.0,46.4,37.0,48.0,8.0,40.0,23.0,92.0,34.0,0.0,29.3,1245.0,57.0,238.0,609.0,422.0,85.0,1245.0,77.0,31.0,40.3,31.0,40.3,752.0,5322.0,2656.0,94.0,62.0,21.0,62.0,37.0,819.0,119.0,35,"2,636",75,77.1,29.3,31.0,82.0,16.0,4.0,26.0,0.0,1.63,40.0,33.0,7.0,0.24,0.47,38.9,40.7,-1.9,-0.06,-0.02,29.3,5.0,0.0,0.0,35.0,45.0,2.0,18.0,23.0,39.0,0.0,1.0,1.0,141.0,16.0,33.0,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,John McGinn,"MF,FW",27,34.0,30,"2,693",29.9,1.0,3.0,4.0,1.0,0.0,0.0,7.0,0.0,2.4,2.4,2.6,5.0,34.0,140.0,66.0,0.03,0.1,0.13,0.03,0.13,0.08,0.09,0.17,0.08,0.17,29.9,1.0,42.0,11.0,26.2,1.4,0.37,0.02,0.09,23.6,0.0,0.0,0.0,2.4,2.4,0.06,-1.4,-1.4,29.9,805.0,1028.0,78.3,14385.0,4830.0,374.0,430.0,87.0,309.0,373.0,82.8,101.0,165.0,61.2,3.0,2.6,3.3,0.4,18.0,114.0,20.0,5.0,140.0,29.9,1028.0,965.0,56.0,25.0,11.0,10.0,50.0,1.0,25.0,18.0,0.0,0.0,805.0,7.0,20.0,29.9,80.0,2.67,56.0,10.0,5.0,3.0,5.0,1.0,10.0,0.33,7.0,1.0,0.0,0.0,2.0,0.0,29.9,66.0,36.0,27.0,29.0,10.0,34.0,71.0,47.9,37.0,43.0,4.0,39.0,24.0,90.0,19.0,0.0,29.9,1348.0,37.0,218.0,756.0,388.0,45.0,1348.0,70.0,45.0,64.3,14.0,20.0,804.0,4072.0,1799.0,34.0,35.0,8.0,58.0,35.0,888.0,66.0,34,"2,693",79,78.7,29.9,30.0,86.0,22.0,4.0,26.0,1.0,1.59,36.0,31.0,5.0,0.17,0.17,39.4,38.0,1.4,0.05,0.5,29.9,7.0,0.0,0.0,41.0,66.0,0.0,50.0,24.0,36.0,2.0,0.0,0.0,176.0,22.0,21.0,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Emi Buendía,"MF,FW",25,38.0,27,"2,412",26.8,5.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,6.3,6.3,5.7,12.0,60.0,138.0,137.0,0.19,0.07,0.26,0.19,0.26,0.24,0.21,0.45,0.24,0.45,26.8,5.0,49.0,11.0,22.4,1.83,0.41,0.1,0.45,15.9,2.0,0.0,0.0,6.3,6.3,0.13,-1.3,-1.3,26.8,787.0,1020.0,77.2,12082.0,3091.0,434.0,513.0,84.6,255.0,323.0,78.9,63.0,90.0,70.0,2.0,5.7,4.2,-3.7,41.0,84.0,41.0,0.0,138.0,26.8,1020.0,954.0,63.0,7.0,11.0,7.0,18.0,7.0,5.0,2.0,0.0,1.0,787.0,3.0,38.0,26.8,90.0,3.36,72.0,2.0,8.0,3.0,4.0,1.0,10.0,0.37,7.0,0.0,1.0,2.0,0.0,0.0,26.8,52.0,23.0,20.0,20.0,12.0,21.0,74.0,28.4,53.0,20.0,2.0,18.0,20.0,72.0,17.0,0.0,26.8,1336.0,38.0,202.0,634.0,516.0,93.0,1336.0,59.0,27.0,45.8,26.0,44.1,829.0,3957.0,1970.0,60.0,46.0,19.0,63.0,58.0,955.0,137.0,38,"2,412",63,70.5,26.8,27.0,79.0,8.0,11.0,26.0,0.0,1.61,40.0,34.0,6.0,0.22,0.31,36.9,37.2,-0.3,-0.01,0.16,26.8,0.0,0.0,0.0,43.0,44.0,1.0,18.0,20.0,23.0,0.0,0.0,0.0,138.0,23.0,54.0,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Leon Bailey,"FW,MF",24,33.0,26,"1,967",21.9,4.0,4.0,8.0,4.0,0.0,0.0,4.0,0.0,5.3,5.3,4.8,10.1,85.0,28.0,182.0,0.18,0.18,0.37,0.18,0.37,0.24,0.22,0.46,0.24,0.46,21.9,4.0,51.0,14.0,27.5,2.33,0.64,0.08,0.29,18.1,3.0,0.0,0.0,5.3,5.3,0.1,-1.3,-1.3,21.9,337.0,547.0,61.6,5379.0,1285.0,190.0,248.0,76.6,97.0,154.0,63.0,35.0,75.0,46.7,4.0,4.8,4.8,-0.8,30.0,19.0,21.0,15.0,28.0,21.9,547.0,507.0,40.0,4.0,4.0,5.0,96.0,10.0,18.0,13.0,0.0,0.0,337.0,0.0,31.0,21.9,62.0,2.84,40.0,2.0,10.0,7.0,3.0,0.0,8.0,0.37,5.0,0.0,0.0,3.0,0.0,0.0,21.9,14.0,6.0,6.0,7.0,1.0,5.0,20.0,25.0,15.0,13.0,0.0,13.0,6.0,20.0,12.0,0.0,21.9,813.0,16.0,91.0,283.0,456.0,89.0,813.0,111.0,40.0,36.0,55.0,49.5,520.0,4022.0,1703.0,85.0,33.0,38.0,48.0,53.0,561.0,182.0,33,"1,967",60,57.5,21.9,26.0,70.0,4.0,7.0,21.0,0.0,1.61,27.0,32.0,-5.0,-0.23,-0.85,30.7,35.5,-4.8,-0.22,-0.38,21.9,4.0,0.0,0.0,29.0,22.0,9.0,96.0,6.0,6.0,0.0,1.0,0.0,72.0,24.0,46.0,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ashley Young,DF,37,29.0,23,"2,036",22.6,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,0.5,0.5,1.0,1.4,29.0,107.0,33.0,0.04,0.0,0.04,0.04,0.04,0.02,0.04,0.06,0.02,0.06,22.6,1.0,15.0,3.0,20.0,0.66,0.13,0.07,0.33,25.1,0.0,0.0,0.0,0.5,0.5,0.03,0.5,0.5,22.6,897.0,1188.0,75.5,16006.0,6166.0,415.0,468.0,88.7,396.0,490.0,80.8,77.0,177.0,43.5,0.0,1.0,0.8,-1.0,14.0,82.0,18.0,5.0,107.0,22.6,1188.0,945.0,235.0,57.0,2.0,12.0,42.0,172.0,6.0,2.0,1.0,2.0,897.0,8.0,28.0,22.6,40.0,1.77,34.0,3.0,2.0,1.0,0.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,22.6,50.0,27.0,34.0,15.0,1.0,37.0,49.0,75.5,12.0,25.0,11.0,14.0,21.0,71.0,65.0,0.0,22.6,1411.0,86.0,502.0,675.0,252.0,10.0,1411.0,22.0,8.0,36.4,10.0,45.5,701.0,3235.0,1554.0,29.0,20.0,4.0,18.0,5.0,767.0,33.0,29,"2,036",70,59.5,22.6,23.0,82.0,15.0,6.0,25.0,9.0,1.69,27.0,28.0,-1.0,-0.04,-0.43,25.9,32.0,-6.1,-0.27,-0.52,22.6,7.0,0.0,0.0,24.0,28.0,1.0,42.0,21.0,27.0,0.0,1.0,0.0,131.0,13.0,11.0,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Boubacar Kamara,MF,22,24.0,21,"1,777",19.7,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.8,1.0,16.0,84.0,8.0,0.0,0.05,0.05,0.0,0.05,0.01,0.04,0.05,0.01,0.05,19.7,0.0,4.0,1.0,25.0,0.2,0.05,0.0,0.0,29.7,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2,19.7,798.0,941.0,84.8,13161.0,3895.0,395.0,441.0,89.6,303.0,334.0,90.7,67.0,95.0,70.5,1.0,0.8,0.7,0.2,7.0,61.0,6.0,0.0,84.0,19.7,941.0,907.0,34.0,32.0,2.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,798.0,0.0,20.0,19.7,23.0,1.17,19.0,0.0,1.0,0.0,3.0,0.0,4.0,0.2,2.0,0.0,1.0,0.0,1.0,0.0,19.7,58.0,25.0,25.0,23.0,10.0,27.0,56.0,48.2,29.0,38.0,12.0,26.0,19.0,77.0,24.0,3.0,19.7,1145.0,65.0,362.0,662.0,132.0,10.0,1145.0,35.0,16.0,45.7,12.0,34.3,622.0,2571.0,1173.0,16.0,11.0,1.0,20.0,14.0,713.0,8.0,24,"1,777",74,52.0,19.7,21.0,83.0,14.0,3.0,14.0,0.0,1.63,28.0,30.0,-2.0,-0.1,-0.48,24.2,33.1,-8.9,-0.45,-0.81,19.7,4.0,0.0,0.0,34.0,31.0,0.0,1.0,19.0,25.0,0.0,0.0,0.0,126.0,22.0,17.0,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Matty Cash,DF,24,26.0,20,"1,820",20.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.2,0.2,0.7,0.9,42.0,75.0,57.0,0.0,0.05,0.05,0.0,0.05,0.01,0.04,0.05,0.01,0.05,20.2,0.0,7.0,1.0,14.3,0.35,0.05,0.0,0.0,26.9,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,20.2,777.0,1006.0,77.2,13672.0,4595.0,345.0,384.0,89.8,361.0,441.0,81.9,61.0,139.0,43.9,1.0,0.7,0.9,0.3,8.0,57.0,15.0,9.0,75.0,20.2,1006.0,809.0,194.0,18.0,2.0,6.0,46.0,176.0,0.0,0.0,0.0,0.0,777.0,3.0,24.0,20.2,28.0,1.38,25.0,0.0,1.0,0.0,1.0,1.0,3.0,0.15,2.0,0.0,0.0,0.0,0.0,1.0,20.2,55.0,32.0,36.0,15.0,4.0,26.0,37.0,70.3,11.0,20.0,5.0,15.0,26.0,81.0,43.0,0.0,20.2,1215.0,76.0,423.0,545.0,258.0,11.0,1215.0,33.0,16.0,48.5,9.0,27.3,610.0,3143.0,1677.0,42.0,33.0,4.0,24.0,7.0,652.0,57.0,26,"1,820",70,53.2,20.2,20.0,85.0,15.0,6.0,21.0,1.0,1.46,28.0,29.0,-1.0,-0.05,-0.39,28.7,27.4,1.3,0.06,0.26,20.2,4.0,0.0,0.0,21.0,15.0,2.0,46.0,26.0,32.0,0.0,1.0,0.0,108.0,12.0,13.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Lucas Digne,DF,29,28.0,18,"1,502",16.7,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.4,0.4,1.9,2.3,29.0,57.0,89.0,0.06,0.0,0.06,0.06,0.06,0.02,0.11,0.14,0.02,0.14,16.7,1.0,8.0,3.0,37.5,0.48,0.18,0.13,0.33,20.5,4.0,0.0,0.0,0.4,0.4,0.05,0.6,0.6,16.7,696.0,927.0,75.1,11016.0,4245.0,387.0,432.0,89.6,247.0,337.0,73.3,49.0,105.0,46.7,0.0,1.9,1.9,-1.9,18.0,40.0,23.0,14.0,57.0,16.7,927.0,749.0,177.0,23.0,0.0,4.0,77.0,142.0,12.0,5.0,4.0,0.0,696.0,1.0,23.0,16.7,29.0,1.74,24.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,30.0,12.0,20.0,9.0,1.0,20.0,33.0,60.6,13.0,18.0,5.0,13.0,18.0,48.0,45.0,0.0,16.7,1096.0,64.0,365.0,396.0,342.0,24.0,1096.0,18.0,3.0,16.7,11.0,61.1,552.0,2363.0,1262.0,29.0,14.0,2.0,16.0,12.0,625.0,89.0,28,"1,502",54,43.9,16.7,18.0,75.0,10.0,10.0,15.0,4.0,1.46,22.0,25.0,-3.0,-0.18,-0.56,19.9,25.7,-5.8,-0.35,-0.52,16.7,5.0,0.0,0.0,19.0,23.0,2.0,77.0,18.0,12.0,0.0,1.0,1.0,86.0,26.0,17.0,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
