,Player,Pos,Age,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att.1,Thr,Launch%,AvgLen,Att.2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,MP,Starts,Min,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKsv,PKm,Save%.1,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,Recov,Won,Lost,Won%,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Touches,Def,Def.1,Mid,Live,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Tkl,Tkl.1,Tkl%,Blocks,Sh,Pass,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,GCA,GCA90,PassLive.1,PassDead.1,TO.1,Sh.1,Fld.1,Dead,TB,Sw,TI,In,Out,Str,Cmp.1,Cmp%.1,Cmp.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3,Ast,xAG,xA,A-xAG,KP,PPA,CrsPA,PrgP,Gls,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,xG,npxG,npxG/Sh,G-xG,np:G-xG,G+A,G-PK,npxG+xAG,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1
0,Emiliano Martínez,GK,29,34.9,38.0,4.0,1.0,6.0,4.0,36.6,0.24,2.6,0.07,199.0,523.0,38.0,1171.0,135.0,35.5,33.0,212.0,50.5,40.7,483.0,60.0,12.4,73.0,2.09,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Robin Olsen,GK,32,3.1,8.0,1.0,0.0,3.0,0.0,6.2,0.29,-1.8,-0.57,15.0,62.0,24.2,101.0,18.0,44.6,37.6,28.0,60.7,46.8,45.0,5.0,11.1,3.0,0.96,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Emiliano Martínez,GK,29,34.9,38.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,36.0,36.0,"3,139",1.09,132.0,97.0,74.2,17.0,7.0,12.0,11.0,30.6,5.0,1.0,0.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Robin Olsen,GK,32,3.1,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,281,2.56,19.0,11.0,63.2,1.0,0.0,1.0,1.0,50.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ezri Konsa,DF,24,36.9,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,0.0,0.0,12.0,64.0,0.0,4.0,26.0,20.0,0.0,0.0,164.0,55.0,37.0,59.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Emiliano Martínez,GK,29,34.9,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,41.0,13.0,0.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ollie Watkins,FW,26,34.7,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,26.0,39.0,18.0,9.0,10.0,13.0,1.0,0.0,59.0,70.0,100.0,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Tyrone Mings,DF,29,35.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,0.0,18.0,22.0,3.0,3.0,54.0,7.0,1.0,0.0,174.0,61.0,24.0,71.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Douglas Luiz,MF,24,32.5,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0,48.0,42.0,2.0,106.0,40.0,42.0,0.0,0.0,197.0,25.0,22.0,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Jacob Ramsey,"MF,FW",21,29.3,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,35.0,45.0,2.0,18.0,23.0,39.0,0.0,1.0,141.0,16.0,33.0,32.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,John McGinn,"MF,FW",27,29.9,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,0.0,41.0,66.0,0.0,50.0,24.0,36.0,2.0,0.0,176.0,22.0,21.0,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Emi Buendía,"MF,FW",25,26.8,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,43.0,44.0,1.0,18.0,20.0,23.0,0.0,0.0,138.0,23.0,54.0,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Leon Bailey,"FW,MF",24,21.9,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,29.0,22.0,9.0,96.0,6.0,6.0,0.0,1.0,72.0,24.0,46.0,34.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Ashley Young,DF,37,22.6,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.0,0.0,24.0,28.0,1.0,42.0,21.0,27.0,0.0,1.0,131.0,13.0,11.0,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Boubacar Kamara,MF,22,19.7,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,34.0,31.0,0.0,1.0,19.0,25.0,0.0,0.0,126.0,22.0,17.0,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Matty Cash,DF,24,20.2,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,0.0,21.0,15.0,2.0,46.0,26.0,32.0,0.0,1.0,108.0,12.0,13.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Lucas Digne,DF,29,16.7,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,0.0,19.0,23.0,2.0,77.0,18.0,12.0,0.0,1.0,86.0,26.0,17.0,60.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Álex Moreno,DF,29,14.8,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,17.0,11.0,0.0,48.0,7.0,14.0,0.0,0.0,69.0,9.0,12.0,42.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Danny Ings,FW,30,9.2,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,8.0,5.0,9.0,4.0,1.0,5.0,0.0,0.0,19.0,16.0,12.0,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Philippe Coutinho,"MF,FW",30,8.8,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,0.0,16.0,14.0,2.0,19.0,4.0,14.0,0.0,0.0,41.0,3.0,13.0,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Leander Dendoncker,MF,27,7.7,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,2.0,10.0,9.0,0.0,0.0,36.0,10.0,8.0,55.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Calum Chambers,"DF,MF",27,3.9,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,7.0,2.0,0.0,4.0,7.0,6.0,0.0,0.0,23.0,3.0,6.0,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Robin Olsen,GK,32,3.1,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Diego Carlos,DF,29,2.3,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,14.0,6.0,3.0,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Bertrand Traoré,"FW,MF",26,2.6,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,2.0,8.0,3.0,5.0,2.0,1.0,0.0,0.0,8.0,2.0,4.0,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Jan Bednarek,DF,26,1.1,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Ludwig Augustinsson,DF,28,0.9,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,9.0,4.0,1.0,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Jhon Durán,"FW,MF",18,1.5,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,9.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,5.0,7.0,10.0,41.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Cameron Archer,"FW,MF",21,0.5,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Morgan Sanson,MF,27,0.1,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Ezri Konsa,DF,24,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,37.0,"3,322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,97.1,90.0,36.0,1.0,1.0,0.0,1.61,49.0,45.0,4.0,0.11,-0.81,47.7,51.1,-3.4,-0.09,-1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Emiliano Martínez,GK,29,34.9,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,36.0,"3,139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,91.8,87.0,34.0,0.0,1.0,1.61,47.0,38.0,9.0,0.26,1.54,46.5,43.9,2.6,0.08,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Ollie Watkins,FW,26,34.7,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,36.0,"3,127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,91.4,86.0,26.0,1.0,25.0,0.0,1.57,47.0,40.0,7.0,0.2,0.82,44.8,47.1,-2.3,-0.07,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Tyrone Mings,DF,29,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,35.0,"3,150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,92.1,90.0,35.0,0.0,1.0,1.74,50.0,40.0,10.0,0.29,1.95,48.8,48.0,0.8,0.02,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Douglas Luiz,MF,24,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,33.0,"2,927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,85.6,86.0,23.0,4.0,23.0,1.0,1.57,46.0,33.0,13.0,0.4,1.86,43.3,41.5,1.7,0.05,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Jacob Ramsey,"MF,FW",21,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,31.0,"2,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,77.1,82.0,16.0,4.0,26.0,0.0,1.63,40.0,33.0,7.0,0.24,0.47,38.9,40.7,-1.9,-0.06,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,John McGinn,"MF,FW",27,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,30.0,"2,693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,78.7,86.0,22.0,4.0,26.0,1.0,1.59,36.0,31.0,5.0,0.17,0.17,39.4,38.0,1.4,0.05,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Emi Buendía,"MF,FW",25,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,27.0,"2,412",,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,70.5,79.0,8.0,11.0,26.0,0.0,1.61,40.0,34.0,6.0,0.22,0.31,36.9,37.2,-0.3,-0.01,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Leon Bailey,"FW,MF",24,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,26.0,"1,967",,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,57.5,70.0,4.0,7.0,21.0,0.0,1.61,27.0,32.0,-5.0,-0.23,-0.85,30.7,35.5,-4.8,-0.22,-0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Ashley Young,DF,37,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,23.0,"2,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,59.5,82.0,15.0,6.0,25.0,9.0,1.69,27.0,28.0,-1.0,-0.04,-0.43,25.9,32.0,-6.1,-0.27,-0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Boubacar Kamara,MF,22,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,21.0,"1,777",,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,52.0,83.0,14.0,3.0,14.0,0.0,1.63,28.0,30.0,-2.0,-0.1,-0.48,24.2,33.1,-8.9,-0.45,-0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Matty Cash,DF,24,20.2,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,20.0,"1,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,53.2,85.0,15.0,6.0,21.0,1.0,1.46,28.0,29.0,-1.0,-0.05,-0.39,28.7,27.4,1.3,0.06,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Lucas Digne,DF,29,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,18.0,"1,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,43.9,75.0,10.0,10.0,15.0,4.0,1.46,22.0,25.0,-3.0,-0.18,-0.56,19.9,25.7,-5.8,-0.35,-0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Álex Moreno,DF,29,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,14.0,"1,329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,38.9,81.0,5.0,5.0,40.0,0.0,1.89,23.0,10.0,13.0,0.88,1.22,19.7,18.6,1.1,0.07,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Danny Ings,FW,30,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,8.0,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,24.1,80.0,3.0,10.0,19.0,1.0,1.33,9.0,13.0,-4.0,-0.44,-0.75,13.6,12.6,1.0,0.11,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Philippe Coutinho,"MF,FW",30,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0,23.0,72.0,1.0,13.0,22.0,2.0,1.1,9.0,9.0,0.0,0.0,-0.17,9.3,8.3,0.9,0.1,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Leander Dendoncker,MF,27,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,20.4,75.0,2.0,13.0,13.0,7.0,1.55,13.0,11.0,2.0,0.26,0.16,10.7,11.0,-0.4,-0.05,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Calum Chambers,"DF,MF",27,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,2.0,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,10.3,90.0,2.0,12.0,14.0,22.0,2.07,4.0,4.0,0.0,0.0,-0.15,3.5,5.6,-2.1,-0.53,-0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Robin Olsen,GK,32,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2.0,281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,8.2,90.0,2.0,2.0,51.0,30.0,1.0,4.0,8.0,-4.0,-1.28,-1.54,3.7,8.6,-4.9,-1.56,-1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
